iteration,alpha,learner,agg,mild,noreg
1,0.01,1050,0.6892,0.6892,0.6892
2,0.01,1050,0.7447,0.7447,0.7447
3,0.01,1050,0.7631,0.7631,0.7631
4,0.01,1050,0.7713,0.7713,0.7713
5,0.01,1050,0.7829,0.7828,0.7828
6,0.01,1050,0.7836,0.7835,0.7835
7,0.01,1050,0.7964,0.7963,0.7963
8,0.01,1050,0.8011,0.801,0.801
9,0.01,1050,0.8038,0.8037,0.8037
10,0.01,1050,0.8091,0.809,0.809
11,0.01,1050,0.813,0.8129,0.8129
12,0.01,1050,0.812,0.812,0.812
13,0.01,1050,0.8162,0.8161,0.8161
14,0.01,1050,0.8188,0.8187,0.8187
15,0.01,1050,0.8209,0.8208,0.8208
16,0.01,1050,0.8227,0.8227,0.8227
17,0.01,1050,0.8243,0.8242,0.8242
18,0.01,1050,0.8257,0.8256,0.8256
19,0.01,1050,0.8259,0.8259,0.8259
20,0.01,1050,0.8269,0.8268,0.8268
21,0.01,1050,0.828,0.8279,0.8279
22,0.01,1050,0.829,0.8289,0.8289
23,0.01,1050,0.8298,0.8298,0.8298
24,0.01,1050,0.8306,0.8305,0.8305
25,0.01,1050,0.8313,0.8313,0.8313
26,0.01,1050,0.832,0.8319,0.8319
27,0.01,1050,0.8326,0.8325,0.8325
28,0.01,1050,0.8332,0.8331,0.8331
29,0.01,1050,0.8337,0.8336,0.8336
30,0.01,1050,0.8342,0.8341,0.8341
31,0.01,1050,0.834,0.8339,0.8339
32,0.01,1050,0.8346,0.8345,0.8345
33,0.01,1050,0.835,0.835,0.835
34,0.01,1050,0.8354,0.8354,0.8354
35,0.01,1050,0.8358,0.8357,0.8357
36,0.01,1050,0.8361,0.8361,0.8361
37,0.01,1050,0.8365,0.8364,0.8364
38,0.01,1050,0.8368,0.8367,0.8367
39,0.01,1050,0.8371,0.837,0.837
40,0.01,1050,0.8374,0.8373,0.8373
41,0.01,1050,0.8376,0.8376,0.8376
42,0.01,1050,0.8379,0.8378,0.8378
43,0.01,1050,0.8381,0.838,0.838
44,0.01,1050,0.8383,0.8383,0.8383
45,0.01,1050,0.8386,0.8385,0.8385
46,0.01,1050,0.8388,0.8387,0.8387
47,0.01,1050,0.839,0.8389,0.8389
48,0.01,1050,0.8392,0.8391,0.8391
49,0.01,1050,0.8393,0.8393,0.8393
50,0.01,1050,0.8395,0.8395,0.8395
51,0.01,1050,0.8397,0.8396,0.8396
52,0.01,1050,0.8399,0.8398,0.8398
53,0.01,1050,0.84,0.8399,0.8399
54,0.01,1050,0.84,0.8399,0.8399
55,0.01,1050,0.8402,0.8401,0.8401
56,0.01,1050,0.8403,0.8402,0.8402
57,0.01,1050,0.8404,0.8404,0.8404
58,0.01,1050,0.8406,0.8405,0.8405
59,0.01,1050,0.8407,0.8406,0.8406
1,0.1,2101,0.7405,0.7405,0.7405
2,0.1,2101,0.7829,0.7839,0.7839
3,0.1,2101,0.7855,0.7857,0.7857
4,0.1,2101,0.8027,0.8029,0.8029
5,0.1,2101,0.8217,0.8217,0.8217
6,0.1,2101,0.8247,0.8247,0.8247
7,0.1,2101,0.8355,0.8355,0.8355
8,0.1,2101,0.8378,0.8377,0.8377
9,0.1,2101,0.8413,0.8412,0.8412
10,0.1,2101,0.8449,0.8449,0.8449
11,0.1,2101,0.8476,0.8476,0.8476
12,0.1,2101,0.8464,0.8464,0.8464
13,0.1,2101,0.8497,0.8497,0.8497
14,0.1,2101,0.8515,0.8516,0.8516
15,0.1,2101,0.8531,0.8532,0.8532
16,0.1,2101,0.8545,0.8546,0.8546
17,0.1,2101,0.8558,0.8559,0.8559
18,0.1,2101,0.857,0.8571,0.8571
19,0.1,2101,0.8572,0.8574,0.8574
20,0.1,2101,0.858,0.8582,0.8582
21,0.1,2101,0.859,0.8593,0.8593
22,0.1,2101,0.8599,0.8602,0.8602
23,0.1,2101,0.8608,0.8611,0.8611
24,0.1,2101,0.8616,0.862,0.862
25,0.1,2101,0.8624,0.8628,0.8628
26,0.1,2101,0.8631,0.8636,0.8636
27,0.1,2101,0.8638,0.8643,0.8643
28,0.1,2101,0.8644,0.865,0.865
29,0.1,2101,0.8651,0.8657,0.8657
30,0.1,2101,0.8657,0.8663,0.8663
31,0.1,2101,0.8656,0.8663,0.8663
32,0.1,2101,0.8662,0.8669,0.8669
33,0.1,2101,0.8668,0.8675,0.8675
34,0.1,2101,0.8673,0.8681,0.8681
35,0.1,2101,0.8678,0.8686,0.8686
36,0.1,2101,0.8683,0.8691,0.8691
37,0.1,2101,0.8688,0.8697,0.8697
38,0.1,2101,0.8692,0.8702,0.8702
39,0.1,2101,0.8697,0.8706,0.8706
40,0.1,2101,0.8701,0.8711,0.8711
41,0.1,2101,0.8705,0.8716,0.8716
42,0.1,2101,0.8709,0.872,0.872
43,0.1,2101,0.8713,0.8724,0.8724
44,0.1,2101,0.8717,0.8728,0.8728
45,0.1,2101,0.8721,0.8733,0.8733
46,0.1,2101,0.8724,0.8737,0.8737
47,0.1,2101,0.8728,0.874,0.874
48,0.1,2101,0.8731,0.8744,0.8744
49,0.1,2101,0.8734,0.8748,0.8748
50,0.1,2101,0.8738,0.8752,0.8752
51,0.1,2101,0.8741,0.8755,0.8755
52,0.1,2101,0.8744,0.8759,0.8759
53,0.1,2101,0.8747,0.8762,0.8762
54,0.1,2101,0.8748,0.8764,0.8764
55,0.1,2101,0.875,0.8766,0.8766
56,0.1,2101,0.8753,0.8769,0.8769
57,0.1,2101,0.8756,0.8772,0.8772
58,0.1,2101,0.8758,0.8775,0.8775
59,0.1,2101,0.8761,0.8779,0.8779
1,1,3535,0.8441,0.8431,0.8431
2,1,3535,0.8134,0.8136,0.8136
3,1,3535,0.8144,0.8155,0.8155
4,1,3535,0.8134,0.8129,0.8129
5,1,3535,0.8249,0.8239,0.8239
6,1,3535,0.8406,0.8449,0.8449
7,1,3535,0.853,0.857,0.857
8,1,3535,0.8639,0.8711,0.8711
9,1,3535,0.8669,0.8741,0.8741
10,1,3535,0.8757,0.8856,0.8856
11,1,3535,0.882,0.8941,0.8941
12,1,3535,0.8841,0.8983,0.8983
13,1,3535,0.8868,0.9006,0.9006
14,1,3535,0.8906,0.906,0.906
15,1,3535,0.8937,0.9106,0.9106
16,1,3535,0.8964,0.9145,0.9145
17,1,3535,0.8986,0.9179,0.9179
18,1,3535,0.9005,0.9209,0.9209
19,1,3535,0.9009,0.9219,0.9219
20,1,3535,0.9022,0.9237,0.9237
21,1,3535,0.9037,0.9261,0.9261
22,1,3535,0.905,0.9284,0.9284
23,1,3535,0.9062,0.9305,0.9305
24,1,3535,0.9073,0.9324,0.9324
25,1,3535,0.9083,0.9342,0.9342
26,1,3535,0.9092,0.9359,0.9359
27,1,3535,0.91,0.9375,0.9375
28,1,3535,0.9108,0.939,0.939
29,1,3535,0.9115,0.9404,0.9404
30,1,3535,0.9121,0.9417,0.9417
31,1,3535,0.9123,0.9424,0.9424
32,1,3535,0.9127,0.943,0.943
33,1,3535,0.9133,0.9442,0.9442
34,1,3535,0.9138,0.9453,0.9453
35,1,3535,0.9143,0.9464,0.9464
36,1,3535,0.9148,0.9475,0.9475
37,1,3535,0.9152,0.9485,0.9485
38,1,3535,0.9156,0.9494,0.9494
39,1,3535,0.916,0.9503,0.9503
40,1,3535,0.9164,0.9512,0.9512
41,1,3535,0.9167,0.9521,0.9521
42,1,3535,0.9171,0.9529,0.9529
43,1,3535,0.9174,0.9537,0.9537
44,1,3535,0.9177,0.9544,0.9544
45,1,3535,0.918,0.9552,0.9552
46,1,3535,0.9183,0.9559,0.9559
47,1,3535,0.9185,0.9566,0.9566
48,1,3535,0.9188,0.9572,0.9572
49,1,3535,0.919,0.9579,0.9579
50,1,3535,0.9193,0.9585,0.9585
51,1,3535,0.9195,0.9591,0.9591
52,1,3535,0.9197,0.9597,0.9597
53,1,3535,0.9199,0.9603,0.9603
54,1,3535,0.92,0.9607,0.9607
55,1,3535,0.9201,0.9608,0.9608
56,1,3535,0.9203,0.9613,0.9613
57,1,3535,0.9205,0.9619,0.9619
58,1,3535,0.9206,0.9624,0.9624
59,1,3535,0.9208,0.9629,0.9629
1,10,4202,0.801,0.8164,0.8164
2,10,4202,0.7593,0.7699,0.7699
3,10,4202,0.7612,0.7717,0.7717
4,10,4202,0.7501,0.7682,0.7682
5,10,4202,0.7664,0.7799,0.7799
6,10,4202,0.7773,0.8328,0.8328
7,10,4202,0.7893,0.8585,0.8585
8,10,4202,0.7992,0.8937,0.8937
9,10,4202,0.8035,0.899,0.899
10,10,4202,0.8135,0.9231,0.9231
11,10,4202,0.8212,0.9388,0.9388
12,10,4202,0.8235,0.9459,0.9459
13,10,4202,0.8273,0.9496,0.9496
14,10,4202,0.8324,0.9574,0.9574
15,10,4202,0.8367,0.9633,0.9633
16,10,4202,0.8404,0.9679,0.9679
17,10,4202,0.8436,0.9716,0.9716
18,10,4202,0.8465,0.9745,0.9745
19,10,4202,0.8471,0.9751,0.9751
20,10,4202,0.8491,0.977,0.977
21,10,4202,0.8515,0.979,0.979
22,10,4202,0.8536,0.9808,0.9808
23,10,4202,0.8556,0.9823,0.9823
24,10,4202,0.8574,0.9836,0.9836
25,10,4202,0.859,0.9847,0.9847
26,10,4202,0.8606,0.9857,0.9857
27,10,4202,0.8621,0.9866,0.9866
28,10,4202,0.8634,0.9874,0.9874
29,10,4202,0.8647,0.9881,0.9881
30,10,4202,0.8659,0.9888,0.9888
31,10,4202,0.8662,0.989,0.989
32,10,4202,0.867,0.9893,0.9893
33,10,4202,0.8681,0.9899,0.9899
34,10,4202,0.8691,0.9904,0.9904
35,10,4202,0.8701,0.9908,0.9908
36,10,4202,0.871,0.9912,0.9912
37,10,4202,0.8719,0.9916,0.9916
38,10,4202,0.8727,0.9919,0.9919
39,10,4202,0.8735,0.9923,0.9923
40,10,4202,0.8743,0.9926,0.9926
41,10,4202,0.875,0.9928,0.9928
42,10,4202,0.8757,0.9931,0.9931
43,10,4202,0.8764,0.9933,0.9933
44,10,4202,0.877,0.9936,0.9936
45,10,4202,0.8777,0.9938,0.9938
46,10,4202,0.8783,0.994,0.994
47,10,4202,0.8788,0.9942,0.9942
48,10,4202,0.8794,0.9944,0.9944
49,10,4202,0.8799,0.9945,0.9945
50,10,4202,0.8805,0.9947,0.9947
51,10,4202,0.881,0.9948,0.9948
52,10,4202,0.8815,0.995,0.995
53,10,4202,0.8819,0.9951,0.9951
54,10,4202,0.8822,0.9952,0.9952
55,10,4202,0.8824,0.9953,0.9953
56,10,4202,0.8829,0.9954,0.9954
57,10,4202,0.8833,0.9955,0.9955
58,10,4202,0.8837,0.9956,0.9956
59,10,4202,0.8841,0.9957,0.9957
1,100,5314,0.801,0.8164,0.8164
2,100,5314,0.7587,0.7712,0.7712
3,100,5314,0.7545,0.7695,0.7695
4,100,5314,0.7281,0.7553,0.7553
5,100,5314,0.7414,0.7711,0.7711
6,100,5314,0.7439,0.8117,0.8117
7,100,5314,0.7445,0.8431,0.8431
8,100,5314,0.743,0.8804,0.8804
9,100,5314,0.7455,0.8873,0.8873
10,100,5314,0.7461,0.9175,0.9175
11,100,5314,0.7464,0.9364,0.9364
12,100,5314,0.7439,0.9445,0.9445
13,100,5314,0.7466,0.9489,0.9489
14,100,5314,0.7467,0.9577,0.9577
15,100,5314,0.7468,0.9641,0.9641
16,100,5314,0.7469,0.9689,0.9689
17,100,5314,0.747,0.9727,0.9727
18,100,5314,0.747,0.9757,0.9757
19,100,5314,0.7475,0.9763,0.9763
20,100,5314,0.7471,0.9782,0.9782
21,100,5314,0.7471,0.9803,0.9803
22,100,5314,0.7471,0.982,0.982
23,100,5314,0.7473,0.9834,0.9834
24,100,5314,0.7475,0.9847,0.9847
25,100,5314,0.7479,0.9858,0.9858
26,100,5314,0.7483,0.9868,0.9868
27,100,5314,0.7487,0.9876,0.9876
28,100,5314,0.7491,0.9884,0.9884
29,100,5314,0.7496,0.989,0.989
30,100,5314,0.75,0.9897,0.9897
31,100,5314,0.7503,0.9899,0.9899
32,100,5314,0.7505,0.9902,0.9902
33,100,5314,0.7509,0.9907,0.9907
34,100,5314,0.7514,0.9911,0.9911
35,100,5314,0.7519,0.9916,0.9916
36,100,5314,0.7523,0.9919,0.9919
37,100,5314,0.7528,0.9923,0.9923
38,100,5314,0.7532,0.9926,0.9926
39,100,5314,0.7537,0.9929,0.9929
40,100,5314,0.7542,0.9932,0.9932
41,100,5314,0.7546,0.9934,0.9934
42,100,5314,0.7551,0.9937,0.9937
43,100,5314,0.7555,0.9939,0.9939
44,100,5314,0.756,0.9941,0.9941
45,100,5314,0.7564,0.9943,0.9943
46,100,5314,0.7569,0.9945,0.9945
47,100,5314,0.7573,0.9947,0.9947
48,100,5314,0.7577,0.9948,0.9948
49,100,5314,0.7582,0.995,0.995
50,100,5314,0.7586,0.9951,0.9951
51,100,5314,0.759,0.9953,0.9953
52,100,5314,0.7595,0.9954,0.9954
53,100,5314,0.7599,0.9955,0.9955
54,100,5314,0.76,0.9956,0.9956
55,100,5314,0.7603,0.9957,0.9957
56,100,5314,0.7607,0.9958,0.9958
57,100,5314,0.7611,0.9959,0.9959
58,100,5314,0.7615,0.996,0.996
59,100,5314,0.7619,0.9961,0.9961
